id,model,backend,fixture_prompt,system_prompt,temperature,max_tokens,n,full,partial,partial_bulk,topology,decorated,none,xfail,empty,full_pct,full_ign_src_pct,sd_equiv_pct,functional_full_pct,full_emitted_pct,topo_ok_pct,recognized_pct,malformed_term,mean_latency_s,out_tok_per_s,in_tokens,out_tokens
fe-haiku-short-conventions,claude-haiku-4-5-20251001,anthropic,short,conventions,0.0,2000,125,23,2,0,0,3,97,0,0,18.4,18.4,20.0,18.4,18.4,20.0,22.4,7,5.6,92.1,118426,65454
fe-haiku-short-strict_ports,claude-haiku-4-5-20251001,anthropic,short,strict_ports,0.0,2000,125,24,2,0,0,7,92,0,0,19.2,20.0,21.6,20.0,19.2,20.8,26.4,1,5.8,92.8,63051,69140
fe-haiku-short-topology,claude-haiku-4-5-20251001,anthropic,short,topology,0.0,2000,125,4,1,0,0,27,93,0,0,3.2,5.6,4.0,3.2,3.2,4.0,25.6,3,5.9,99.7,15959,50528
fe-haiku-spec-conventions,claude-haiku-4-5-20251001,anthropic,spec,conventions,0.0,2000,125,106,11,0,2,2,4,0,0,84.8,86.4,95.2,84.8,84.8,95.2,96.8,0,2.6,91.9,136412,29834
fe-haiku-spec-strict_ports,claude-haiku-4-5-20251001,anthropic,spec,strict_ports,0.0,2000,125,110,11,0,2,0,2,0,0,88.0,88.0,98.4,88.0,88.0,98.4,98.4,0,2.4,90.5,81037,25032
fe-haiku-verbose-conventions,claude-haiku-4-5-20251001,anthropic,verbose,conventions,0.0,2000,125,33,6,0,0,2,84,0,0,26.4,28.0,32.0,27.2,26.4,31.2,32.8,5,6.0,92.0,122298,68949
fe-haiku-verbose-strict_ports,claude-haiku-4-5-20251001,anthropic,verbose,strict_ports,0.0,2000,125,38,4,0,0,2,81,0,0,30.4,31.2,33.6,30.4,30.4,33.6,35.2,0,5.8,92.4,66923,67500
fe-opus47-short-conventions,claude-opus-4-7,anthropic,short,conventions,,2000,125,85,0,2,0,0,38,0,0,68.0,68.0,68.0,68.0,68.0,69.6,69.6,0,5.6,50.3,168427,34664
fe-opus47-short-strict_ports,claude-opus-4-7,anthropic,short,strict_ports,,2000,125,82,0,1,0,2,40,0,0,65.6,65.6,65.6,65.6,65.6,66.4,68.0,0,5.4,51.2,92677,36775
fe-opus47-short-topology_ports,claude-opus-4-7,anthropic,short,topology_ports,,20000,125,77,0,0,0,14,34,0,0,61.6,61.6,62.4,62.4,61.6,61.6,72.8,0,6.4,53.1,49177,42939
fe-opus-short-conventions,claude-opus-4-8,anthropic,short,conventions,,2000,125,86,0,5,0,0,34,0,0,68.8,68.8,69.6,69.6,68.8,72.8,72.8,0,4.8,58.0,167802,37830
fe-opus-short-strict_ports,claude-opus-4-8,anthropic,short,strict_ports,,2000,125,74,0,1,0,1,49,0,0,59.2,59.2,60.0,60.0,59.2,60.0,60.8,0,4.7,56.5,92052,33771
fe-opus48-short-topology_ports,claude-opus-4-8,anthropic,short,topology_ports,,20000,125,67,0,0,0,14,44,0,0,53.6,53.6,54.4,54.4,53.6,53.6,64.8,0,5.8,57.0,48552,42214
fe-opus-spec-conventions,claude-opus-4-8,anthropic,spec,conventions,,2000,125,120,2,0,3,0,0,0,0,96.0,96.0,100.0,96.0,96.0,100.0,100.0,0,3.7,55.8,190928,26496
fe-opus-verbose-conventions,claude-opus-4-8,anthropic,verbose,conventions,,2000,125,94,0,4,0,0,27,0,0,75.2,75.2,76.0,76.0,75.2,78.4,78.4,0,5.4,56.2,173109,38503
fe-opus-verbose-strict_ports,claude-opus-4-8,anthropic,verbose,strict_ports,,2000,125,94,0,1,0,0,30,0,0,75.2,75.2,76.0,76.0,75.2,76.0,76.0,0,5.1,55.5,97359,37571
fe-sonnet-short-conventions,claude-sonnet-4-6,anthropic,short,conventions,0.0,2000,125,55,2,1,1,8,58,0,0,44.0,44.0,47.2,44.8,44.0,47.2,53.6,0,11.4,50.3,118551,74240
fe-sonnet-short-strict_ports,claude-sonnet-4-6,anthropic,short,strict_ports,0.0,2000,125,60,1,0,0,6,58,0,0,48.0,48.0,50.4,49.6,48.0,48.8,53.6,0,11.7,49.0,63176,74895
fe-sonnet-short-topology,claude-sonnet-4-6,anthropic,short,topology,0.0,2000,125,15,0,0,0,37,73,0,0,12.0,12.0,12.0,12.0,12.0,12.0,41.6,0,15.7,53.5,23176,106013
fe-sonnet-spec-conventions,claude-sonnet-4-6,anthropic,spec,conventions,0.0,2000,125,116,9,0,0,0,0,0,0,92.8,92.8,100.0,92.8,92.8,100.0,100.0,0,6.3,49.5,136537,40633
fe-sonnet-spec-strict_ports,claude-sonnet-4-6,anthropic,spec,strict_ports,0.0,2000,125,114,9,0,1,0,1,0,0,91.2,91.2,99.2,91.2,91.2,99.2,99.2,0,6.4,48.1,81162,37808
fe-sonnet-verbose-conventions,claude-sonnet-4-6,anthropic,verbose,conventions,0.0,2000,125,82,6,1,0,0,36,0,0,65.6,65.6,71.2,66.4,65.6,71.2,71.2,0,11.3,50.6,122423,73436
fe-sonnet-verbose-strict_ports,claude-sonnet-4-6,anthropic,verbose,strict_ports,0.0,2000,125,81,5,0,0,1,38,0,0,64.8,64.8,68.8,64.8,64.8,68.8,69.6,0,11.3,50.5,67048,73686
lb-dscoder-v2-short-conventions,deepseek-coder-v2:16b,ollama,short,conventions,0.0,2000,125,0,0,0,0,1,124,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,38,2.0,135.9,107702,34473
lb-dscoder-v2-short-strict_ports,deepseek-coder-v2:16b,ollama,short,strict_ports,0.0,2000,125,0,0,0,0,2,123,0,0,0.0,0.8,0.0,0.0,0.0,0.0,1.6,11,1.3,145.7,58827,24687
lb-dscoder-v2-short-topology,deepseek-coder-v2:16b,ollama,short,topology,0.0,2000,125,0,0,0,0,3,122,0,0,0.0,2.4,0.0,0.0,0.0,0.0,2.4,5,1.4,198.2,20452,32418
lb-dscoder-v2-short-topology_ports,deepseek-coder-v2:16b,ollama,short,topology_ports,0.0,2000,125,0,0,1,0,1,123,0,0,0.0,0.0,0.8,0.8,0.0,0.8,1.6,5,2.8,145.7,32077,48551
lb-dscoder-v2-spec-conventions,deepseek-coder-v2:16b,ollama,spec,conventions,0.0,2000,125,23,2,0,10,3,87,0,0,18.4,20.0,28.8,19.2,18.4,28.0,30.4,22,1.5,129.1,122937,24658
lb-dscoder-v2-spec-strict_ports,deepseek-coder-v2:16b,ollama,spec,strict_ports,0.0,2000,125,57,1,1,7,2,57,0,0,45.6,45.6,54.4,48.0,45.6,52.8,54.4,12,0.9,133.7,74062,15017
lb-dscoder-v2-spec-topology,deepseek-coder-v2:16b,ollama,spec,topology,0.0,2000,125,34,0,1,4,0,86,0,0,27.2,27.2,37.6,29.6,27.2,31.2,31.2,7,0.8,164.0,35687,15417
lb-dscoder-v2-spec-topology_ports,deepseek-coder-v2:16b,ollama,spec,topology_ports,0.0,2000,125,48,3,0,8,7,59,0,0,38.4,38.4,52.0,38.4,38.4,47.2,52.8,6,1.0,139.1,47312,17030
lb-dscoder-v2-verbose-conventions,deepseek-coder-v2:16b,ollama,verbose,conventions,0.0,2000,125,0,0,0,0,1,124,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,41,2.0,134.3,111054,32930
lb-dscoder-v2-verbose-strict_ports,deepseek-coder-v2:16b,ollama,verbose,strict_ports,0.0,2000,125,0,0,0,0,1,124,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,19,1.4,144.9,62179,26492
lb-thinkfalse-deepseek-r1-14b-short-strict_ports,deepseek-r1:14b,ollama,short,strict_ports,0.0,16000,125,1,0,0,1,0,122,1,1,0.8,0.8,1.6,0.8,0.8,1.6,1.6,9,8.7,61.5,57505,65603
or-deepseek-v3-2025-short-conventions,deepseek/deepseek-chat-v3-0324,openai,short,conventions,0.0,8000,125,21,1,5,0,8,82,8,8,16.8,17.6,17.6,16.8,17.9,21.6,28.0,7,10.4,24.9,102408,29359
or-deepseek-v3-2025-short-strict_ports,deepseek/deepseek-chat-v3-0324,openai,short,strict_ports,0.0,8000,125,17,0,0,0,0,100,8,8,13.6,13.6,13.6,13.6,14.5,13.6,13.6,5,10.8,25.9,23983,13139
or-deepseek-v3-2025-spec-strict_ports,deepseek/deepseek-chat-v3-0324,openai,spec,strict_ports,0.0,8000,125,96,10,1,5,0,6,7,7,76.8,76.8,89.6,77.6,81.4,89.6,89.6,2,,,0,0
or-deepseek-v3-2025-verbose-strict_ports,deepseek/deepseek-chat-v3-0324,openai,verbose,strict_ports,0.0,8000,125,23,1,0,0,2,80,19,19,18.4,20.0,19.2,18.4,21.7,19.2,20.8,9,9.1,25.1,965,492
or-deepseek-v4-flash-2026-short-conventions,deepseek/deepseek-v4-flash,openai,short,conventions,0.0,8000,125,41,1,2,2,3,75,1,1,32.8,32.8,37.6,35.2,33.1,36.8,39.2,0,17.8,73.5,103496,165041
or-deepseek-v4-flash-2026-short-strict_ports,deepseek/deepseek-v4-flash,openai,short,strict_ports,0.0,8000,125,42,0,0,0,4,79,0,0,33.6,33.6,34.4,34.4,33.6,33.6,36.8,1,16.0,79.5,40394,107884
or-deepseek-v4-flash-2026-spec-strict_ports,deepseek/deepseek-v4-flash,openai,spec,strict_ports,0.0,8000,125,107,9,0,2,0,7,0,0,85.6,85.6,98.4,89.6,85.6,94.4,94.4,0,,,0,0
or-deepseek-v4-flash-2026-verbose-strict_ports,deepseek/deepseek-v4-flash,openai,verbose,strict_ports,0.0,8000,125,52,2,0,1,0,70,0,0,41.6,41.6,45.6,43.2,41.6,44.0,44.0,1,,,0,0
or-deepseek-v4-pro-2026-short-conventions,deepseek/deepseek-v4-pro,openai,short,conventions,0.0,8000,125,65,1,1,0,2,56,0,0,52.0,52.0,56.0,55.2,52.0,53.6,55.2,7,42.1,46.6,24942,56439
or-deepseek-v4-pro-short-formatted,deepseek/deepseek-v4-pro,openai,short,formatted,0.0,20000,125,0,0,0,0,49,76,0,0,0.0,12.8,0.0,0.0,0.0,0.0,39.2,12,50.3,48.3,5110,287905
or-deepseek-v4-pro-2026-short-strict_ports,deepseek/deepseek-v4-pro,openai,short,strict_ports,0.0,8000,125,65,0,0,0,2,57,1,1,52.0,52.0,53.6,53.6,52.4,52.0,53.6,7,56.1,47.6,17272,91392
or-deepseek-v4-pro-short-topology_ports,deepseek/deepseek-v4-pro,openai,short,topology_ports,0.0,20000,125,50,0,0,0,15,59,1,1,40.0,40.0,41.6,41.6,40.3,40.0,52.0,0,41.1,48.1,31360,255608
or-deepseek-v4-pro-2026-spec-strict_ports,deepseek/deepseek-v4-pro,openai,spec,strict_ports,0.0,8000,125,115,7,0,1,0,2,0,0,92.0,92.0,100.0,93.6,92.0,98.4,98.4,0,56.8,46.0,7900,22596
or-deepseek-v4-pro-2026-verbose-strict_ports,deepseek/deepseek-v4-pro,openai,verbose,strict_ports,0.0,8000,125,73,4,0,2,1,45,0,0,58.4,58.4,68.8,64.0,58.4,63.2,64.0,5,38.7,46.5,23089,83816
lb-gemma2-short-conventions,gemma2:9b,ollama,short,conventions,0.0,2000,125,0,0,0,0,0,121,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,2.6,85.4,107946,28375
lb-gemma2-short-strict_ports,gemma2:9b,ollama,short,strict_ports,0.0,2000,125,1,0,0,0,0,124,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,40,1.2,86.4,58071,13426
lb-gemma2-short-topology,gemma2:9b,ollama,short,topology,0.0,2000,125,0,0,0,0,0,124,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1.6,89.4,20821,18235
lb-gemma2-short-topology_ports,gemma2:9b,ollama,short,topology_ports,0.0,2000,125,0,0,0,0,0,124,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1.6,88.2,32071,18260
lb-gemma2-spec-conventions,gemma2:9b,ollama,spec,conventions,0.0,2000,125,2,0,0,1,0,122,0,0,1.6,1.6,2.4,1.6,1.6,2.4,2.4,70,1.6,84.6,124058,17587
20260613-045341-gemma2,gemma2:9b,ollama,spec,strict_ports,0.0,2000,125,22,0,0,39,1,63,0,0,17.6,17.6,50.4,18.4,17.6,48.8,49.6,4,1.4,85.2,74183,15223
lb-gemma2-spec-strict_ports,gemma2:9b,ollama,spec,strict_ports,0.0,2000,125,24,0,0,40,1,60,0,0,19.2,19.2,52.0,20.0,19.2,51.2,52.0,3,1.4,85.8,74183,15370
lb-gemma2-spec-topology,gemma2:9b,ollama,spec,topology,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,1.6,87.6,36933,17267
20260613-042138-gemma2,gemma2:9b,ollama,spec,topology_ports,0.0,2000,125,28,2,0,35,9,51,0,0,22.4,22.4,52.8,23.2,22.4,52.0,59.2,6,1.3,85.4,48183,13842
lb-gemma2-spec-topology_ports,gemma2:9b,ollama,spec,topology_ports,0.0,2000,125,30,2,0,34,7,52,0,0,24.0,24.0,53.6,24.8,24.0,52.8,58.4,6,1.3,85.9,48183,13716
lb-gemma2-verbose-conventions,gemma2:9b,ollama,verbose,conventions,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,1.5,84.8,111434,15752
lb-gemma2-verbose-strict_ports,gemma2:9b,ollama,verbose,strict_ports,0.0,2000,125,1,0,0,0,0,124,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,30,1.1,85.3,61559,11780
lb-gemma3-short-conventions,gemma3:12b,ollama,short,conventions,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,4.7,58.1,108570,34556
lb-gemma3-short-strict_ports,gemma3:12b,ollama,short,strict_ports,0.0,2000,125,1,0,0,0,0,124,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,27,4.5,62.3,58320,35110
lb-gemma3-short-topology,gemma3:12b,ollama,short,topology,0.0,2000,125,0,0,0,0,3,122,0,0,0.0,0.8,0.0,0.0,0.0,0.0,2.4,58,5.9,63.2,21445,46545
lb-gemma3-short-topology_ports,gemma3:12b,ollama,short,topology_ports,0.0,2000,125,0,0,0,0,2,123,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3,5.0,62.9,32570,39761
lb-gemma3-spec-conventions,gemma3:12b,ollama,spec,conventions,0.0,2000,125,0,0,0,0,1,124,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,80,3.8,55.5,124690,26534
lb-gemma3-spec-strict_ports,gemma3:12b,ollama,spec,strict_ports,0.0,2000,125,43,2,0,4,6,70,0,0,34.4,38.4,40.0,35.2,34.4,39.2,44.0,11,3.7,60.6,74440,27759
lb-gemma3-spec-topology,gemma3:12b,ollama,spec,topology,0.0,2000,125,1,0,0,0,4,120,0,0,0.8,4.0,0.8,0.8,0.8,0.8,4.0,103,3.9,61.8,37565,30049
lb-gemma3-spec-topology_ports,gemma3:12b,ollama,spec,topology_ports,0.0,2000,125,30,0,0,4,24,67,0,0,24.0,29.6,27.2,24.0,24.0,27.2,46.4,7,3.2,61.0,48690,24304
lb-gemma3-verbose-conventions,gemma3:12b,ollama,verbose,conventions,0.0,2000,125,0,0,0,0,0,125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4.5,57.5,112052,32593
lb-gemma3-verbose-strict_ports,gemma3:12b,ollama,verbose,strict_ports,0.0,2000,125,1,0,0,0,0,124,0,0,0.8,0.8,1.6,1.6,0.8,0.8,0.8,26,4.6,61.8,61802,36076
lb-gptoss-20b-short-conventions,gpt-oss:20b,ollama,short,conventions,0.0,4000,125,5,0,0,0,5,115,0,0,4.0,7.2,4.0,4.0,4.0,4.0,8.0,8,18.0,30.2,112482,67399
lb-gptoss-20b-short-strict_ports,gpt-oss:20b,ollama,short,strict_ports,0.0,4000,125,4,0,1,0,3,117,0,0,3.2,5.6,4.8,4.8,3.2,4.0,6.4,3,16.9,31.9,65982,67820
lb-gptoss-20b-short-topology,gpt-oss:20b,ollama,short,topology,0.0,4000,125,0,1,0,0,8,114,2,2,0.0,4.8,0.8,0.0,0.0,0.8,7.2,4,19.7,32.0,29107,78995
lb-gptoss-20b-short-topology_ports,gpt-oss:20b,ollama,short,topology_ports,0.0,4000,125,8,1,0,0,3,113,0,0,6.4,6.4,8.0,7.2,6.4,7.2,9.6,1,17.7,32.0,40607,71153
lb-gptoss-20b-spec-conventions,gpt-oss:20b,ollama,spec,conventions,0.0,4000,125,40,3,23,9,5,45,0,0,32.0,36.0,42.4,32.8,32.0,60.0,64.0,1,8.7,29.7,128553,32291
lb-gptoss-20b-spec-strict_ports,gpt-oss:20b,ollama,spec,strict_ports,0.0,4000,125,98,1,2,15,0,9,0,0,78.4,78.4,95.2,82.4,78.4,92.8,92.8,0,7.5,31.9,82053,29939
